gid,light,dem,ndvi,road_dis,poi_dis,poi
9913,0,0,0.0,2416,18899.771249570567,0.0
9914,0,0,0.0,2894,19621.820226192503,0.0
9915,0,0,0.0,3356,20392.749442773857,0.0
9916,0,0,0.0,3750,21204.134247122205,0.0
9917,0,0,0.0,4167,22046.481509841502,0.0
9918,0,0,0.0,4601,22908.45991462115,0.0
9919,0,0,0.0,5047,23794.118954476777,0.0
9920,0,0,0.0,5502,24700.174741116287,0.0
9921,0,0,0.0,5964,25623.418390274306,0.0
9922,0,0,0.0,6432,26559.719698822253,0.0
9923,0,0,0.0,6905,27508.15238730267,0.0
9924,0,0,0.0,7368,28467.60252831588,0.0
9925,0,0,0.0,7801,29436.639816521878,0.0
9926,0,0,0.0,8182,30414.07867030348,0.0
9927,0,0,0.0,8574,31398.92864299321,0.0
9928,0,0,0.0,8977,32390.35594215296,0.0
9929,0,0,0.0,9390,33387.65344805461,0.0
9930,0,0,0.0,9750,34390.21722851246,0.0
9931,0,0,0.0,10094,35396.90062976876,0.0
9932,0,0,0.0,10451,36407.8209246312,0.0
9933,0,0,0.0,10819,37422.70035144748,0.0
9934,0,0,0.0,11197,38439.14822181637,0.0
9935,0,0,0.0,11584,39448.30671929098,0.0
9936,0,0,0.0,11980,40461.29804536783,0.0
9937,0,0,0.0,12384,41477.81457348277,0.0
9938,0,0,0.0,12794,42461.928881573534,0.0
9939,0,0,0.0,13210,43435.48800978517,0.0
9940,0,0,0.0,13632,44413.23226053575,0.0
9941,0,0,0.0,14059,45391.81642483275,0.0
9942,0,0,0.0,14491,46336.08742752694,0.0
9943,0,0,0.0,14927,47285.1786826598,0.0
9944,0,0,0.0,15367,48238.8737186896,0.0
9945,0,0,0.0,15811,49196.968592132005,0.0
9946,0,0,0.0,16257,50159.27077688357,0.0
9947,0,0,0.0,16707,51125.598208837444,0.0
9948,0,0,0.0,17160,52058.83038204193,0.0
9949,0,0,0.0,17615,52992.4755136586,0.0
9950,0,0,0.0,18072,53930.371272497745,0.0
9951,0,0,0.0,18532,54872.358540229296,0.0
9952,0,0,0.0,18994,55818.28537698435,0.0
9953,0,0,0.0,19458,56768.00659512277,0.0
9954,0,0,0.0,19923,57721.38337503222,0.0
9955,0,0,0.0,20390,58678.28291641746,0.0
9956,0,0,0.0,20859,59638.57811973263,0.0
9957,0,0,0.0,21329,60602.14729338347,0.0
9958,0,0,0.0,21800,61568.87388311962,0.0
9959,0,0,0.0,22272,62538.64622068208,0.0
9960,0,0,0.0,22746,63511.35728929607,0.0
9961,0,0,0.0,23221,64486.904504025166,0.0
9962,0,0,0.0,23697,65465.189505347626,0.0
9963,0,0,0.0,24174,66446.11796459612,0.0
9964,0,0,0.0,24652,67429.59940012744,0.0
9965,0,0,0.0,25130,68415.5470032728,0.0
9966,0,0,0.0,25610,69403.87747326575,0.0
9967,0,0,0.0,26090,70391.12378871322,0.0
9968,0,0,0.0,26571,71371.56625829841,0.0
9969,0,0,0.0,27053,72354.31551042166,0.0
9970,0,0,0.0,27535,73339.30080916411,0.0
9971,0,0,0.0,28018,74326.41399029916,0.0
9972,0,0,0.0,28501,75312.09913607607,0.0
9973,0,0,0.0,28985,76293.09171401241,0.0
9974,0,0,0.0,29470,77276.35313992453,0.0
9975,0,0,0.0,29955,78261.81388271562,0.0
9976,0,0,0.0,30441,79249.40702624944,0.0
9977,0,0,0.0,30927,80239.06815713253,0.0
9978,0,0,0.0,31413,81230.7352575398,0.0
9979,0,0,0.0,31900,82224.34860287844,0.0
9980,0,0,0.0,32367,83219.85066409082,0.0
9981,0,0,0.0,32830,84204.34425226216,0.0
9982,0,0,0.0,33294,85180.9253054808,0.0
9983,0,0,0.0,33758,86159.60148246134,0.0
9984,0,0,0.0,34224,87140.31597260431,0.0
9985,0,0,0.0,34690,88123.0138626751,0.0
9986,0,0,0.0,35158,89107.64206298772,0.0
9987,0,0,0.0,35626,90094.14923675887,0.0
9988,0,0,0.0,36095,91082.48573249535,0.0
9989,0,0,0.0,36565,92072.60351928227,0.0
9990,0,0,0.0,37036,93064.45612484416,0.0
9991,0,0,0.0,37508,94057.99857625645,0.0
9992,0,0,0.0,37980,95053.18734318827,0.0
9993,0,0,0.0,38453,96049.9802835637,0.0
9994,0,0,0.0,38927,97048.33659153155,0.0
9995,0,0,0.0,39401,98048.21674763996,0.0
9996,0,0,0.0,39876,99049.58247111517,0.0
9997,0,0,0.0,40352,100052.3966741489,0.0
9998,0,0,0.0,40828,101056.623418103,0.0
9999,0,0,0.0,41305,102062.22787154351,0.0
10000,0,0,0.0,41782,103069.17627002139,0.0
10001,0,0,0.0,7495,28971.41266721819,0.0
